title,slug,oldCategory,newSection,newFormat,reason,state
"A Nation Built on Faith and Virtue","america-is-built-on-faith-and-virtue",faith,faith,news,"was category=faith",PUBLISHED
"Op-Ed: UVU Just Learned a Lesson About Peacemaking","op-ed-uvu-just-learned-a-lesson-about-peacemaking",faith,faith,news,"was category=faith",PUBLISHED
"UVU Commencement Speaker Sparks Mourning, Frustration Among Utah Students","uvu-commencement-speaker-sparks-mourning-frustration-among-utah-students",faith,faith,news,"was category=faith",PUBLISHED
"Happy Holy Week: Some Ways BYU Is Remembering the Savior this Week","happy-holy-week-some-ways-byu-is-remembering-the-savior-this-week",faith,faith,news,"was category=faith",PUBLISHED
"Coming Closer to Jesus Christ: Dallin H. Oaks' Prophetic Debut","coming-closer-to-jesus-christ-dallin-h-oaks-prophetic-debut",faith,faith,news,"was category=faith",PUBLISHED
"Center on Christ Through Patience and Prayer: Elder Steven D. Shumway","center-on-christ-through-patience-and-prayer-elder-steven-d-shumway",faith,faith,news,"was category=faith",PUBLISHED
"BYUSA Presidential Candidate Leads Student Protest Against ICE","byusa-presidential-candidate-leads-student-protest-against-ice",faith,faith,news,"was category=faith",PUBLISHED
"BYU's Un-Alone Club: Brad Wilcox Shares A Message of Hope, Heartache, and Healing","byus-un-alone-club-brad-wilcox-shares-a-message-of-hope-heartache-and-healing",faith,faith,news,"was category=faith",PUBLISHED
"BYU Hosts Former NIH Director Francis Collins for a Forum Address, Drawing Controversy","byu-hosts-former-nih-director-francis-collins-for-a-forum-address-drawing-controversy",faith,faith,news,"was category=faith",PUBLISHED
"Elder and Sister Kearon Celebrate 100 Years of Institute with Invitations to Be Active Disciples and Rely on the Atonement","elder-and-sister-kearon-celebrate-100-years-of-institute-with-invitations-to-be-active-disciples-and-rely-on-the-atonement",faith,faith,news,"was category=faith",PUBLISHED
"Moving Towards Your Promised Land: Elder Matthew Holland Challenges Students to Cling to the Book of Mormon","moving-towards-your-promised-land-elder-matthew-holland-challenges-students-to-cling-to-the-book-of-mormon",faith,faith,news,"was category=faith",PUBLISHED
"Guardians at the Gate: Why LDS Women Should Be Unapologetically Pro-Life","guardians-at-the-gate-why-lds-women-should-be-unapologetically-pro-life",faith,faith,news,"was category=faith",PUBLISHED
"President and Sister Reese Welcome Students Back With Messages of Hope and Encouragement","president-and-sister-reese-welcome-students-back-with-messages-of-hope-and-encouragement",faith,faith,news,"was category=faith",PUBLISHED
"Elder Edward B Rowe: Confidence In Christ Offers Constant Hope","elder-edward-b-rowe-confidence-in-christ-offers-constant-hope",faith,faith,news,"was category=faith",PUBLISHED
"Dr. Jenet Erickson Emphasizes the Sanctity of Life and the Broken Promises of Abortion at Pro-life Club Event","dr-jenet-erickson-emphasizes-the-sanctity-of-life-and-the-broken-promises-of-abortion-at-pro-life-club-event",faith,faith,news,"was category=faith",PUBLISHED
"Dr. Catherine Pakaluk Asserts Religion, Not Government, Will Boost Birth Rates","dr-catherine-pakaluk-asserts-religion-not-government-will-boost-birth-rates",faith,faith,news,"was category=faith",PUBLISHED
"Christ as the Center of The Family Proclamation: Elder and Sister GilbertΓÇÖs Commemorative Address","christ-as-the-center-of-the-family-proclamation-elder-and-sister-gilberts-commemorative-address",faith,faith,news,"was category=faith",PUBLISHED
"Michael L. RobertsΓÇô Our Unique Purpose and Opportunity at BYU","michael-l-roberts-our-unique-purpose-and-opportunity-at-byu",faith,faith,news,"was category=faith",PUBLISHED
"President Oaks Announces the New First Presidency","president-oaks-announces-the-new-first-presidency",faith,faith,news,"was category=faith",PUBLISHED
"Why are BYU English Professors doing Land Acknowledgements?","why-are-byu-english-professors-doing-land-acknowledgements",faith,faith,news,"was category=faith",PUBLISHED
"Saints Worldwide Gather To Remember President Nelson","saints-worldwide-gather-to-remember-president-nelson",faith,faith,news,"was category=faith",PUBLISHED
"The Family Proclamation: A Rallying Cry to the Rising Generation","the-family-proclamation-a-rallying-cry-to-the-rising-generation",faith,faith,news,"was category=faith",PUBLISHED
"Honoring Russell M. Nelson: The Prophet of Our Youth","honoring-russell-m-nelson-the-prophet-of-our-youth",faith,faith,news,"was category=faith",PUBLISHED
"Elder Rasband Urges BYU Students To Prioritize The Family","elder-rasband-urges-byu-students-to-prioritize-the-family",faith,faith,news,"was category=faith",PUBLISHED
"The Myth of Charlie Kirk","the-myth-of-charlie-kirk",faith,faith,news,"was category=faith",PUBLISHED
"Why Diversity Is Not BYU-IdahoΓÇÖs Mission","why-diversity-is-not-byu-idahos-mission",faith,faith,news,"was category=faith",PUBLISHED
"Mormon Women for Not-So Ethical Government","mormon-women-for-not-so-ethical-government",faith,faith,news,"was category=faith",PUBLISHED
"BYU Library Celebrates Feminist Magazine Once Opposed by the Church","byu-library-celebrates-feminist-magazine-once-opposed-by-the-church",faith,faith,news,"was category=faith",PUBLISHED
"Dr. Ilana Horowitz: ReligionΓÇÖs Surprising Impact on Academic Success","dr-ilana-horowitz-religions-surprising-impact-on-academic-success",faith,faith,news,"was category=faith",PUBLISHED
"BYU Basketball Faces Second ""F*** the Mormons"" Chant This Season","byu-basketball-faces-second-f-the-mormons-chant-this-season",faith,faith,news,"was category=faith",PUBLISHED
"Deseret Book Pushes Speculative ΓÇ£Heavenly MotherΓÇ¥ Books Despite Prophetic Warnings","deseret-book-pushes-speculative-heavenly-mother-books-despite-prophetic-warnings",faith,faith,news,"was category=faith",PUBLISHED
"Love, Loss, and Loneliness: Elder Duncan Points BYU Students to Jesus Christ","love-loss-and-loneliness-elder-duncan-points-byu-students-to-jesus-christ",faith,faith,news,"was category=faith",PUBLISHED
"What I Learned From an Atheist at BYU","what-i-learned-from-an-atheist-at-byu",faith,faith,news,"was category=faith",PUBLISHED
"President and Sister Reese Welcome BYU Students","president-and-sister-reese-welcome-byu-students",faith,faith,news,"was category=faith",PUBLISHED
"Expanding Religious Education Opportunities for Adult Latter-day Saints","expanding-religious-education-opportunities-for-adult-latter-day-saints",faith,faith,news,"was category=faith",PUBLISHED
"Sister J. Anette Dennis: Peace Amidst Uncertainty","sister-j-anette-dennis-peace-amidst-turmoil",faith,faith,news,"was category=faith",PUBLISHED
"Phil Lyman Sets Record for Most Write-In Votes in Non-Presidential Election","phil-lyman-sets-record-for-most-write-in-votes-in-non-presidential-election",faith,faith,news,"was category=faith",PUBLISHED
"'You Probably DonΓÇÖt Believe the Book of Mormon' ΓÇô Anti-Trump Professor Doubles Down","you-probably-dont-believe-the-book-of-mormon-anti-trump-professor-doubles-down",faith,faith,news,"was category=faith",PUBLISHED
"BYU Professor Quotes Scripture to Condemn Trump Voters","byu-professor-quotes-scripture-to-condemn-trump-voters",faith,faith,news,"was category=faith",PUBLISHED
"Dallas Jenkins: Giving it All to God","dallas-jenkins-giving-it-all-to-god",faith,faith,news,"was category=faith",PUBLISHED
